매물확인방식,보증금,월세,전용면적,해당층,총층,방수,주차가능여부,총주차대수,관리비,제공플랫폼,허위매물여부,게재일_변환,방향_0,방향_1,방향_2,방향_3,방향_4,방향_5,방향_6,방향_7
2,146500000.0,240000,27.445,2.0,3.0,1.0,1,2.0,0,5,0,556,False,False,True,False,False,False,False,False
1,12500000.0,50000,29.88,6.0,10.0,2.0,0,34.0,14,1,0,550,False,True,False,False,False,False,False,False
1,375500000.0,350000,19.07,2.0,5.0,1.0,1,6.0,8,0,0,457,False,False,False,False,False,False,False,True
2,24500000.0,740000,29.5,7.0,8.0,1.0,0,1.0,4,0,1,380,False,True,False,False,False,False,False,False
2,186000000.0,450000,24.49,4.0,14.0,2.0,0,16.0,4,6,0,544,False,False,True,False,False,False,False,False
0,107500000.0,240000,27.16,9.0,10.0,2.0,0,10.0,4,2,0,536,False,False,False,False,False,True,False,False
2,397000000.0,450000,27.51,10.0,11.0,2.0,0,1.0,8,0,0,571,False,False,False,True,False,False,False,False
2,361000000.0,350000,17.5,6.0,6.0,1.0,0,8.0,8,2,0,570,False,True,False,False,False,False,False,False
1,13000000.0,550000,25.985,2.0,3.0,2.0,1,2.0,0,4,0,523,True,False,False,False,False,False,False,False
2,354500000.0,750000,19.83,3.0,5.0,1.0,1,6.0,0,0,0,615,False,False,True,False,False,False,False,False
2,402000000.0,640000,37.85,5.0,6.0,2.0,1,48.0,3,0,0,352,False,False,True,False,False,False,False,False
2,102000000.0,400000,29.48,6.0,8.0,2.0,1,43.0,6,1,0,194,False,False,False,False,False,True,False,False
2,132000000.0,540000,26.104999999999997,2.0,3.0,1.0,1,2.0,8,0,1,439,False,False,False,False,False,False,False,True
2,195000000.0,560000,39.66,3.0,6.0,2.0,0,5.0,0,0,0,521,False,False,True,False,False,False,False,False
1,160000000.0,80000,36.3,2.0,4.0,2.0,1,1.0,0,0,0,633,False,False,False,True,False,False,False,False
2,342000000.0,610000,41.42,8.0,21.0,1.0,1,38.0,7,1,0,463,False,False,True,False,False,False,False,False
1,129500000.0,430000,36.6,2.0,5.0,2.0,0,3.0,18,4,0,508,False,False,True,False,False,False,False,False
2,94000000.0,270000,26.59,4.0,9.0,1.0,1,6.0,1,1,0,434,False,True,False,False,False,False,False,False
2,25000000.0,520000,25.985,3.0,5.0,1.0,1,4.0,4,3,0,527,False,False,False,True,False,False,False,False
0,32500000.0,630000,25.58,5.0,11.0,1.0,0,21.0,19,2,0,582,False,False,False,True,False,False,False,False
2,171000000.0,480000,34.48,2.0,3.0,2.0,1,18.0,7,0,0,280,False,False,False,False,False,False,True,False
2,361000000.0,440000,17.5,3.0,9.0,1.0,0,43.0,7,2,0,212,False,False,False,True,False,False,False,False
2,324000000.0,660000,20.26,11.0,14.0,1.0,0,21.0,2,0,0,606,False,False,False,True,False,False,False,False
0,127000000.0,460000,36.54,2.0,3.0,2.0,1,18.0,0,0,0,603,False,False,True,False,False,False,False,False
1,348500000.0,600000,24.96,5.0,5.0,2.0,0,7.0,3,2,0,463,False,False,False,True,False,False,False,False
2,20000000.0,170000,26.19,4.0,5.0,1.0,1,4.0,3,3,0,577,False,False,False,False,False,False,True,False
2,86500000.0,40000,38.1,5.0,9.0,1.0,0,20.0,10,0,0,404,False,False,False,False,False,False,False,True
2,20500000.0,500000,17.5,5.0,11.0,1.0,0,38.0,14,1,0,604,False,False,False,False,False,False,True,False
2,76000000.0,700000,25.58,3.0,5.0,1.0,1,5.0,6,1,1,235,False,False,False,False,False,False,False,True
2,156000000.0,550000,26.25,3.0,7.0,1.0,0,5.0,0,0,1,294,True,False,False,False,False,False,False,False
1,6500000.0,290000,40.89,6.0,6.0,1.0,0,11.0,5,6,0,590,False,False,False,True,False,False,False,False
2,178500000.0,240000,22.55,2.0,3.0,1.0,0,1.0,0,4,0,453,False,False,False,True,False,False,False,False
1,131000000.0,110000,18.59,4.0,7.0,1.0,0,2.0,0,2,0,613,False,False,False,False,False,False,True,False
2,113500000.0,490000,26.104999999999997,2.0,3.0,1.0,1,2.0,0,6,0,526,False,False,True,False,False,False,False,False
2,106000000.0,60000,20.89,18.0,18.0,1.0,0,1.0,14,2,0,317,False,False,False,False,True,False,False,False
2,153500000.0,130000,26.66,7.0,8.0,2.0,1,3.0,7,0,0,142,True,False,False,False,False,False,False,False
1,172000000.0,580000,27.16,2.0,5.0,1.0,1,31.0,4,0,0,674,False,False,False,False,False,False,True,False
2,321500000.0,440000,24.39,4.0,5.0,1.0,1,4.0,2,5,0,352,False,False,False,False,False,False,False,True
2,123500000.0,640000,27.76,6.0,6.0,1.0,1,5.0,2,2,0,637,False,False,False,False,False,False,True,False
0,88000000.0,150000,24.69,11.0,14.0,1.0,0,21.0,0,0,0,646,False,False,False,True,False,False,False,False
2,160500000.0,590000,17.5,2.0,3.0,2.0,1,44.0,0,1,0,352,False,False,False,True,False,False,False,False
2,77500000.0,60000,24.05,2.0,5.0,1.0,0,5.0,13,1,0,521,False,False,False,True,False,False,False,False
2,82500000.0,470000,17.5,7.0,11.0,1.0,0,21.0,5,0,0,532,False,False,False,False,False,True,False,False
2,405000000.0,310000,37.98,4.0,18.0,1.0,1,38.0,0,1,0,361,False,False,False,True,False,False,False,False
2,108000000.0,480000,32.84,3.0,10.0,2.0,0,30.0,0,0,0,432,False,False,False,False,True,False,False,False
2,177500000.0,260000,31.32,4.0,5.0,1.0,0,1.0,0,1,0,219,False,False,False,False,True,False,False,False
2,186500000.0,740000,28.67,4.0,7.0,1.0,1,1.0,0,2,0,336,False,False,False,True,False,False,False,False
0,321500000.0,230000,26.44,2.0,3.0,2.0,1,2.0,2,0,0,563,False,False,True,False,False,False,False,False
2,10500000.0,210000,17.5,3.0,10.0,1.0,0,4.0,17,0,0,556,False,False,True,False,False,False,False,False
0,111000000.0,330000,28.27,4.0,7.0,2.0,0,1.0,6,9,0,574,False,False,False,True,False,False,False,False
2,195000000.0,590000,28.17,2.0,3.0,2.0,1,2.0,0,1,0,546,False,True,False,False,False,False,False,False
2,147000000.0,300000,19.8,3.0,4.0,1.0,0,2.0,8,7,0,592,False,False,False,False,True,False,False,False
0,25000000.0,170000,36.36,3.0,6.0,2.0,0,4.0,7,0,0,536,False,False,False,True,False,False,False,False
2,105000000.0,290000,26.59,5.0,8.0,2.0,1,5.0,2,0,0,319,False,False,False,False,False,False,False,True
2,5000000.0,550000,25.43,6.0,7.0,1.0,0,18.0,0,0,0,330,False,False,True,False,False,False,False,False
0,193000000.0,510000,30.68,6.0,10.0,1.0,0,12.0,4,0,0,363,False,False,True,False,False,False,False,False
2,78000000.0,570000,19.09,3.0,3.0,1.0,1,13.0,5,0,0,423,False,False,True,False,False,False,False,False
1,81000000.0,70000,24.05,3.0,5.0,1.0,1,5.0,0,3,0,617,False,False,True,False,False,False,False,False
2,396000000.0,550000,25.97,2.0,6.0,1.0,1,4.0,8,1,0,579,False,False,False,True,False,False,False,False
2,70000000.0,530000,17.5,5.0,9.0,1.0,1,8.0,7,0,0,616,False,True,False,False,False,False,False,False
2,116000000.0,410000,17.5,12.0,13.0,1.0,1,38.0,8,0,0,581,False,False,True,False,False,False,False,False
2,69500000.0,680000,17.5,2.0,6.0,1.0,0,5.0,0,2,0,587,False,False,False,False,False,False,False,True
2,90500000.0,260000,17.5,11.0,18.0,2.0,0,14.0,0,8,0,642,False,False,True,False,False,False,False,False
2,89000000.0,390000,29.92,4.0,7.0,2.0,0,8.0,11,1,0,547,False,False,False,False,False,True,False,False
2,33000000.0,370000,40.89,4.0,6.0,1.0,0,11.0,3,2,0,522,True,False,False,False,False,False,False,False
2,392000000.0,150000,17.5,12.0,14.0,1.0,0,104.0,10,5,0,551,False,False,False,True,False,False,False,False
2,24500000.0,450000,26.25,3.0,4.0,2.0,1,2.0,0,0,0,606,True,False,False,False,False,False,False,False
0,80500000.0,430000,17.5,12.0,14.0,1.0,0,104.0,7,0,0,529,False,False,False,False,False,False,False,True
2,94000000.0,720000,21.16,9.0,15.0,1.0,1,17.0,3,3,0,597,False,False,False,True,False,False,False,False
2,151000000.0,50000,27.045,3.0,5.0,1.0,1,4.0,0,3,0,629,False,False,False,False,False,False,False,True
2,346000000.0,640000,30.55,3.0,6.0,2.0,0,44.0,1,1,0,613,False,False,True,False,False,False,False,False
2,131500000.0,240000,35.24,5.0,7.0,1.0,1,30.0,0,3,0,168,True,False,False,False,False,False,False,False
2,145500000.0,570000,26.104999999999997,2.0,3.0,2.0,1,2.0,3,1,0,486,False,False,True,False,False,False,False,False
2,32500000.0,310000,34.45,7.0,10.0,1.0,1,50.0,9,0,0,493,True,False,False,False,False,False,False,False
1,403500000.0,540000,25.97,4.0,5.0,2.0,0,5.0,0,0,1,369,False,False,False,True,False,False,False,False
2,177500000.0,390000,24.39,4.0,5.0,1.0,0,1.0,14,1,0,491,False,False,True,False,False,False,False,False
2,156500000.0,480000,17.57,1.0,3.0,2.0,1,41.0,14,0,0,462,True,False,False,False,False,False,False,False
2,324000000.0,570000,28.17,3.0,5.0,2.0,1,2.0,0,1,0,518,False,False,False,False,True,False,False,False
2,126500000.0,30000,31.13,6.0,8.0,1.0,0,16.0,5,3,0,261,False,False,False,True,False,False,False,False
0,167500000.0,200000,32.78,3.0,3.0,1.0,0,41.0,0,0,0,552,True,False,False,False,False,False,False,False
2,195500000.0,100000,38.96,3.0,14.0,1.0,0,33.0,10,0,0,316,False,False,True,False,False,False,False,False
0,22000000.0,120000,29.98,7.0,8.0,2.0,0,6.0,0,0,0,544,False,False,True,False,False,False,False,False
2,22000000.0,480000,48.07,3.0,5.0,2.0,0,4.0,0,0,0,541,True,False,False,False,False,False,False,False
2,392000000.0,150000,17.5,9.0,16.0,1.0,0,34.0,10,0,0,492,False,False,True,False,False,False,False,False
2,338000000.0,240000,21.88,6.0,6.0,1.0,0,32.0,0,5,0,303,False,False,False,False,False,False,True,False
2,104500000.0,140000,28.16,1.0,12.0,1.0,0,41.0,9,0,0,671,False,False,False,False,False,False,True,False
0,393000000.0,630000,21.88,4.0,6.0,1.0,0,8.0,10,1,0,563,False,False,False,False,False,False,False,True
2,12500000.0,470000,25.985,4.0,7.0,2.0,0,5.0,14,0,1,337,False,False,False,True,False,False,False,False
2,73500000.0,180000,35.03,3.0,8.0,1.0,0,50.0,5,0,0,353,False,False,True,False,False,False,False,False
1,138000000.0,540000,20.21,8.0,9.0,1.0,1,23.0,6,1,0,119,False,False,False,True,False,False,False,False
2,75500000.0,480000,17.5,2.0,3.0,2.0,0,27.0,0,0,0,239,False,False,True,False,False,False,False,False
2,83000000.0,620000,25.58,3.0,4.0,2.0,0,3.0,0,11,0,532,False,False,False,False,False,False,True,False
2,22000000.0,390000,19.83,2.0,7.0,1.0,1,6.0,4,0,0,481,True,False,False,False,False,False,False,False
2,374000000.0,50000,25.56,5.0,11.0,1.0,0,1.0,13,0,0,588,False,False,False,True,False,False,False,False
1,390500000.0,290000,24.45,3.0,4.0,1.0,0,1.0,0,2,0,543,False,False,True,False,False,False,False,False
2,87000000.0,360000,27.25,8.0,11.0,1.0,0,26.0,5,1,0,366,False,False,False,True,False,False,False,False
0,164500000.0,110000,31.86,4.0,6.0,2.0,0,4.0,9,4,0,595,False,False,False,True,False,False,False,False
0,70500000.0,560000,18.9,2.0,8.0,1.0,0,4.0,9,0,0,603,True,False,False,False,False,False,False,False
2,12000000.0,260000,18.54,14.0,21.0,1.0,0,109.0,10,0,1,387,False,False,False,False,False,False,True,False
2,11000000.0,740000,25.49,4.0,7.0,1.0,0,1.0,1,0,1,357,False,False,True,False,False,False,False,False
2,17000000.0,680000,22.17,6.0,6.0,1.0,0,27.0,5,1,0,516,False,False,False,False,False,False,False,True
2,5500000.0,380000,26.44,4.0,6.0,1.0,0,3.0,1,1,0,639,True,False,False,False,False,False,False,False
2,100500000.0,720000,25.58,3.0,4.0,2.0,1,3.0,0,2,0,576,False,True,False,False,False,False,False,False
2,30000000.0,720000,19.8,5.0,8.0,1.0,1,5.0,1,0,0,606,False,False,False,False,False,False,False,True
1,156000000.0,140000,29.14,2.0,3.0,1.0,1,2.0,0,3,0,480,False,False,True,False,False,False,False,False
0,153500000.0,290000,18.88,4.0,19.0,1.0,0,25.0,0,0,0,313,False,False,False,True,False,False,False,False
2,387000000.0,160000,25.56,3.0,4.0,2.0,1,3.0,0,3,0,593,False,False,False,True,False,False,False,False
2,142500000.0,450000,34.54,2.0,2.0,1.0,1,21.0,1,3,0,410,False,False,True,False,False,False,False,False
1,170000000.0,450000,24.39,3.0,5.0,2.0,0,4.0,8,5,0,533,True,False,False,False,False,False,False,False
0,69500000.0,200000,26.59,3.0,5.0,2.0,0,1.0,4,3,1,446,False,False,False,True,False,False,False,False
2,366500000.0,410000,26.25,3.0,7.0,1.0,0,4.0,5,2,0,502,False,False,False,False,True,False,False,False
2,19000000.0,450000,26.25,2.0,4.0,2.0,1,2.0,3,9,0,458,False,False,True,False,False,False,False,False
2,144500000.0,140000,27.045,2.0,3.0,2.0,1,2.0,0,0,0,645,False,False,False,True,False,False,False,False
2,188000000.0,310000,24.29,4.0,11.0,1.0,0,34.0,8,0,0,286,False,False,False,False,False,False,False,True
0,25500000.0,740000,40.12,4.0,6.0,1.0,0,2.0,10,0,0,614,False,False,False,True,False,False,False,False
1,402000000.0,150000,43.03,5.0,10.0,2.0,0,19.0,0,2,0,580,False,False,False,False,False,False,False,True
2,406500000.0,590000,32.34,4.0,6.0,2.0,0,1.0,6,0,1,328,False,False,False,False,False,False,False,True
2,135000000.0,70000,27.045,4.0,6.0,1.0,1,4.0,19,0,1,357,False,False,False,False,False,False,False,True
2,76000000.0,550000,19.83,2.0,5.0,1.0,1,6.0,5,0,0,497,False,False,False,True,False,False,False,False
2,363500000.0,470000,33.8,3.0,7.0,2.0,0,15.0,10,7,0,576,False,False,True,False,False,False,False,False
2,107000000.0,460000,26.295,2.0,6.0,1.0,0,4.0,0,1,0,479,False,False,False,False,False,False,False,True
2,96000000.0,390000,27.25,2.0,3.0,2.0,1,1.0,0,4,0,569,False,False,False,False,False,True,False,False
2,89000000.0,400000,17.5,4.0,5.0,1.0,1,2.0,10,0,0,593,False,False,False,False,False,False,False,True
0,106000000.0,450000,17.5,9.0,21.0,1.0,0,238.0,14,6,0,580,True,False,False,False,False,False,False,False
2,28000000.0,470000,25.985,4.0,6.0,2.0,0,4.0,3,4,0,540,False,False,False,False,True,False,False,False
2,14000000.0,250000,26.78,2.0,3.0,2.0,1,2.0,0,3,0,590,False,False,True,False,False,False,False,False
2,8000000.0,50000,29.96,9.0,9.0,2.0,0,1.0,10,1,0,538,False,False,False,True,False,False,False,False
2,193500000.0,380000,27.35,1.0,2.0,1.0,1,17.0,9,1,0,569,False,False,False,True,False,False,False,False
2,154500000.0,80000,17.5,7.0,7.0,1.0,0,4.0,5,6,1,469,False,False,True,False,False,False,False,False
0,69000000.0,390000,28.6,2.0,3.0,2.0,1,2.0,0,0,0,523,False,False,False,False,False,True,False,False
2,327500000.0,390000,39.15,10.0,16.0,2.0,0,1.0,0,0,0,176,False,False,False,False,False,False,False,True
2,30000000.0,320000,29.04,4.0,4.0,1.0,1,6.0,2,0,0,237,False,False,False,True,False,False,False,False
2,149000000.0,290000,30.49,10.0,19.0,2.0,1,4.0,7,1,0,188,False,False,False,True,False,False,False,False
2,7500000.0,170000,30.17,3.0,4.0,1.0,0,43.0,10,1,0,580,False,False,False,True,False,False,False,False
2,167000000.0,380000,24.39,4.0,6.0,1.0,0,1.0,0,3,0,489,False,False,False,True,False,False,False,False
2,10500000.0,540000,19.83,2.0,3.0,1.0,1,9.0,0,0,0,558,False,False,True,False,False,False,False,False
2,193000000.0,450000,17.5,4.0,4.0,1.0,1,1.0,2,0,0,606,False,False,False,True,False,False,False,False
2,8000000.0,190000,28.09,2.0,3.0,2.0,1,2.0,16,0,1,70,False,False,False,False,False,False,True,False
0,18500000.0,380000,17.5,5.0,6.0,2.0,0,6.0,9,1,0,599,True,False,False,False,False,False,False,False
2,148000000.0,380000,31.68,2.0,2.0,2.0,0,1.0,3,1,0,256,False,False,False,False,False,False,True,False
0,22000000.0,350000,17.5,12.0,15.0,1.0,1,9.0,6,2,0,362,False,False,False,False,True,False,False,False
1,11000000.0,610000,28.09,5.0,5.0,2.0,0,6.0,0,3,1,513,False,True,False,False,False,False,False,False
0,153000000.0,140000,30.94,7.0,20.0,2.0,1,16.0,0,2,0,165,True,False,False,False,False,False,False,False
2,156500000.0,250000,25.29,3.0,4.0,2.0,0,3.0,3,1,0,589,False,False,False,True,False,False,False,False
2,128000000.0,360000,28.27,2.0,5.0,1.0,0,1.0,0,3,0,521,False,False,False,False,True,False,False,False
2,26000000.0,330000,25.77,5.0,8.0,1.0,0,6.0,0,2,1,400,False,False,False,True,False,False,False,False
0,406000000.0,320000,20.47,5.0,10.0,1.0,0,22.0,0,0,0,305,False,False,False,False,False,False,True,False
2,150000000.0,750000,44.76,5.0,6.0,2.0,1,4.0,17,6,1,369,True,False,False,False,False,False,False,False
2,165500000.0,490000,36.85,2.0,3.0,1.0,0,3.0,15,0,0,231,False,False,True,False,False,False,False,False
2,153500000.0,110000,18.64,5.0,20.0,1.0,0,3.0,8,0,0,136,False,False,False,True,False,False,False,False
2,17000000.0,320000,26.25,4.0,5.0,1.0,1,2.0,4,2,0,600,False,False,False,True,False,False,False,False
2,338000000.0,280000,32.48,9.0,11.0,1.0,1,45.0,9,11,0,212,False,False,False,False,False,False,False,True
2,12500000.0,680000,30.98,1.0,19.0,2.0,1,2.0,3,1,0,390,False,False,False,False,False,False,False,True
2,134500000.0,250000,27.445,4.0,6.0,2.0,0,4.0,3,1,0,578,False,False,False,False,True,False,False,False
2,376500000.0,640000,33.3,8.0,18.0,1.0,0,2.0,0,0,0,517,False,False,False,False,False,True,False,False
2,173500000.0,50000,40.86,3.0,6.0,2.0,1,5.5,9,0,0,614,False,False,False,False,False,False,False,True
2,109000000.0,410000,29.69,4.0,7.0,2.0,0,1.0,1,1,0,429,False,True,False,False,False,False,False,False
0,398500000.0,640000,39.66,3.0,5.0,2.0,0,5.0,15,3,0,616,False,False,True,False,False,False,False,False
0,105000000.0,220000,28.82,5.0,6.0,1.0,1,7.0,11,2,0,551,False,False,True,False,False,False,False,False
2,150500000.0,540000,31.31,14.0,19.0,2.0,0,32.0,9,1,0,381,False,False,True,False,False,False,False,False
2,21500000.0,120000,28.33,6.0,9.0,2.0,0,6.0,9,0,0,485,False,False,False,True,False,False,False,False
2,161000000.0,80000,29.14,2.0,3.0,1.0,1,2.0,0,4,0,535,False,False,False,False,False,False,False,True
0,176000000.0,460000,28.17,2.0,4.0,1.0,1,2.0,0,3,0,586,False,False,True,False,False,False,False,False
1,170000000.0,610000,20.47,4.0,6.0,1.0,1,6.0,20,0,1,112,False,False,False,False,False,False,True,False
1,374000000.0,180000,29.98,4.0,7.0,2.0,0,21.0,15,4,0,550,False,False,True,False,False,False,False,False
0,165500000.0,450000,24.39,2.0,4.0,2.0,1,3.0,0,3,0,504,False,False,False,False,False,False,False,True
2,148000000.0,420000,35.99,2.0,3.0,2.0,1,18.0,0,2,0,618,False,False,False,True,False,False,False,False
2,104500000.0,160000,28.17,4.0,7.0,2.0,0,10.0,7,4,0,488,False,False,False,False,False,False,False,True
1,353500000.0,270000,24.45,2.0,4.0,1.0,1,3.0,0,1,0,642,False,False,True,False,False,False,False,False
2,5000000.0,0,27.58,4.0,4.0,1.0,1,1.0,9,0,1,487,False,False,False,True,False,False,False,False
2,26500000.0,370000,26.25,3.0,5.0,1.0,1,4.0,12,10,1,132,False,False,False,False,False,False,False,True
1,366500000.0,150000,32.59,5.0,8.0,1.0,0,9.0,3,9,1,431,False,False,True,False,False,False,False,False
2,343500000.0,120000,19.83,5.0,9.0,1.0,1,6.0,3,0,1,369,False,True,False,False,False,False,False,False
2,388000000.0,510000,25.97,3.0,4.0,2.0,1,2.0,0,1,0,550,False,False,False,False,False,False,False,True
2,137500000.0,190000,35.87,5.0,6.0,2.0,1,4.0,10,0,0,503,False,False,False,False,False,False,False,True
2,81500000.0,470000,17.5,13.0,17.0,2.0,1,2.0,5,3,0,555,False,False,False,False,True,False,False,False
2,86500000.0,270000,34.15,2.0,17.0,2.0,1,12.0,4,0,0,516,False,False,False,True,False,False,False,False
0,136000000.0,480000,29.98,7.0,8.0,2.0,0,6.0,0,6,0,559,False,False,True,False,False,False,False,False
2,129500000.0,150000,17.5,8.0,14.0,1.0,0,104.0,12,2,0,479,False,False,True,False,False,False,False,False
2,27500000.0,240000,26.78,2.0,3.0,1.0,1,2.0,0,3,1,420,False,False,True,False,False,False,False,False
2,21000000.0,120000,27.58,4.0,5.0,2.0,0,5.0,0,1,0,495,False,False,False,True,False,False,False,False
1,139500000.0,250000,27.445,4.0,5.0,2.0,0,3.0,0,2,0,534,False,False,False,True,False,False,False,False
1,81500000.0,100000,24.01,8.0,10.0,2.0,0,7.0,8,6,0,552,False,False,False,True,False,False,False,False
0,138000000.0,540000,23.06,2.0,5.0,1.0,0,1.0,5,2,0,521,False,False,True,False,False,False,False,False
2,14000000.0,400000,26.25,3.0,4.0,1.0,1,3.0,0,0,0,523,False,False,True,False,False,False,False,False
0,325500000.0,690000,19.56,7.0,17.0,1.0,0,20.0,3,0,0,256,True,False,False,False,False,False,False,False
2,388000000.0,120000,33.83,3.0,10.0,1.0,0,41.0,7,1,0,168,False,True,False,False,False,False,False,False
0,65500000.0,450000,29.98,4.0,7.0,2.0,1,21.0,0,4,1,326,False,False,False,False,False,False,False,True
1,176000000.0,120000,30.3,4.0,5.0,1.0,1,1.0,16,2,1,161,False,False,False,False,False,False,False,True
2,122000000.0,490000,26.104999999999997,2.0,3.0,1.0,1,2.0,0,4,0,621,False,False,False,True,False,False,False,False
2,196000000.0,230000,36.36,4.0,6.0,2.0,0,4.0,2,0,0,442,False,False,False,False,False,False,False,True
2,325500000.0,690000,32.11,6.0,21.0,1.0,1,21.0,0,0,0,429,False,False,True,False,False,False,False,False
2,108500000.0,20000,24.83,1.0,10.0,1.0,1,11.0,3,11,0,288,False,False,False,False,False,True,False,False
2,31000000.0,560000,25.45,4.0,8.0,1.0,1,42.0,10,4,0,519,False,False,True,False,False,False,False,False
2,130000000.0,490000,26.104999999999997,2.0,3.0,2.0,1,2.0,4,0,0,572,False,False,True,False,False,False,False,False
2,83000000.0,510000,44.29,1.0,2.0,1.0,0,38.0,5,4,0,470,False,False,True,False,False,False,False,False
1,71000000.0,540000,26.295,3.0,5.0,2.0,1,4.0,0,3,0,623,False,False,False,False,False,False,False,True
2,383500000.0,190000,28.52,5.0,5.0,2.0,1,1.0,5,2,1,193,False,False,False,False,False,False,True,False
0,185500000.0,410000,24.19,3.0,8.0,1.0,0,43.0,16,1,0,528,False,False,False,True,False,False,False,False
2,73500000.0,350000,27.25,4.0,5.0,1.0,1,4.0,0,5,0,612,False,False,False,False,False,False,False,True
2,25500000.0,710000,36.26,15.0,15.0,1.0,1,1.0,4,2,0,321,False,False,False,False,False,False,False,True
2,157000000.0,370000,36.35,7.0,9.0,1.0,1,32.0,9,1,0,261,False,False,False,True,False,False,False,False
2,400000000.0,210000,24.25,10.0,18.0,2.0,1,39.0,12,1,0,640,False,False,False,False,False,False,False,True
2,378000000.0,200000,17.5,3.0,4.0,1.0,0,3.0,0,0,0,593,True,False,False,False,False,False,False,False
2,19000000.0,190000,17.5,8.0,14.0,1.0,0,107.0,0,0,0,622,False,True,False,False,False,False,False,False
2,382000000.0,460000,29.93,5.0,6.0,2.0,0,6.0,1,4,0,520,False,False,True,False,False,False,False,False
2,383500000.0,260000,32.72,3.0,8.0,1.0,1,15.0,18,2,1,317,False,False,False,True,False,False,False,False
2,142500000.0,130000,49.97,4.0,6.0,2.0,1,2.0,0,0,0,623,False,False,True,False,False,False,False,False
2,192000000.0,140000,29.14,4.0,4.0,2.0,1,2.0,13,1,1,515,False,True,False,False,False,False,False,False
1,344500000.0,480000,23.1,12.0,14.0,1.0,1,13.0,1,1,0,237,False,False,False,False,False,False,True,False
0,356000000.0,50000,39.12,8.0,14.0,2.0,0,30.0,9,1,1,397,False,True,False,False,False,False,False,False
2,95000000.0,650000,17.5,3.0,6.0,1.0,1,3.0,13,0,1,529,False,False,True,False,False,False,False,False
2,373000000.0,730000,26.24,8.0,9.0,2.0,0,14.0,13,0,0,486,False,False,True,False,False,False,False,False
2,167500000.0,370000,33.14,4.0,8.0,1.0,1,50.0,13,0,0,256,False,False,False,False,False,False,True,False
2,98000000.0,300000,26.59,3.0,6.0,1.0,0,1.0,10,1,0,495,False,False,True,False,False,False,False,False
1,14500000.0,80000,23.14,3.0,7.0,1.0,0,6.0,13,0,0,624,False,False,False,False,True,False,False,False
2,340500000.0,190000,43.14,10.0,21.0,1.0,1,36.0,13,5,0,244,False,False,True,False,False,False,False,False
2,145000000.0,650000,29.95,3.0,9.0,2.0,1,32.0,6,1,1,166,False,False,False,False,False,False,True,False
0,152500000.0,650000,27.76,2.0,6.0,1.0,0,7.0,11,1,0,531,True,False,False,False,False,False,False,False
2,68500000.0,20000,23.22,6.0,11.0,1.0,1,15.0,9,4,0,380,False,False,False,False,False,False,False,True
2,100500000.0,440000,32.38,4.0,4.0,2.0,1,18.0,8,2,0,527,False,False,False,True,False,False,False,False
2,90500000.0,50000,27.36,3.0,10.0,1.0,1,6.0,5,2,0,588,False,False,True,False,False,False,False,False
