Season,DayNum,WTeamID,WTeamName,WScore,LTeamID,LTeamName,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Tournament_Type,WTeamSeed,WTeamSeedRegion,LTeamSeed,LTeamSeedRegion,WTeamSeed,WTeamSeedRegion,LTeamSeed,LTeamSeedRegion
2023,7,1131,boston,72,1318,northeastern,63,H,0,24,62,8,23,16,25,10,24,13,10,8,4,19,18,49,7,23,20,26,6,29,9,16,8,5,19,Regular,,,,,,,,
2023,7,1132,bowling green,62,1102,air force,58,H,0,22,56,6,20,12,19,6,29,9,13,8,2,14,22,55,12,34,2,4,2,25,10,11,5,5,17,Regular,,,,,,,,
2023,7,1138,buffalo,88,1159,colgate,87,H,0,35,65,6,21,12,22,3,22,16,13,12,3,22,30,56,5,15,22,29,3,31,18,17,5,2,17,Regular,,,15.0,Y,,,15.0,Y
2023,7,1139,butler,89,1309,new orleans,53,H,0,36,64,4,24,13,21,8,23,17,15,13,4,11,21,51,6,16,5,8,6,19,12,30,7,2,19,Regular,,,,,,,,
2023,7,1140,brigham young,60,1226,idaho st,56,H,0,22,59,3,16,13,19,11,27,9,23,12,4,20,19,50,8,25,10,14,3,26,7,21,15,2,20,Regular,,,,,,,,
2023,7,1150,charlotte,82,1164,coppin st,59,H,0,28,56,10,29,16,22,8,30,14,11,9,3,17,22,54,3,22,12,17,3,25,6,12,7,0,20,Regular,,,,,,,,
2023,7,1155,clemson,80,1154,citadel,69,H,0,30,65,7,22,13,18,13,27,19,8,8,1,15,24,56,11,25,10,12,5,23,11,12,1,3,18,Regular,,,,,,,,
2023,7,1158,charleston,85,1151,chattanooga,78,H,0,28,62,9,29,20,27,13,19,10,15,10,3,22,29,59,9,26,11,17,11,22,17,21,7,3,27,Regular,12.0,X,,,12.0,X,,
2023,7,1160,colorado,82,1415,cal riverside,66,H,0,30,64,6,13,16,26,10,27,15,13,9,4,12,29,72,4,21,4,10,12,28,7,12,5,4,22,Regular,,,,,,,,
2023,7,1161,colorado st,65,1205,gardner webb,63,H,0,22,44,7,13,14,21,1,26,13,16,4,3,17,23,54,7,22,10,16,6,24,8,15,10,4,21,Regular,,,,,,,,
2023,7,1163,connecticut,85,1476,stonehill,54,H,0,29,63,5,24,22,31,15,25,16,15,11,8,20,16,45,5,17,17,22,4,16,9,23,10,2,21,Regular,4.0,Z,,,4.0,Z,,
2023,7,1166,creighton,72,1472,saint thomas (minn.),60,H,0,26,66,8,34,12,14,12,25,11,4,5,6,10,24,58,9,22,3,4,5,24,10,12,4,2,15,Regular,6.0,X,,,6.0,X,,
2023,7,1173,dayton,73,1473,lindenwood,46,H,0,24,51,5,19,20,30,7,33,19,9,4,6,16,18,55,4,20,6,14,3,22,7,8,4,1,22,Regular,,,,,,,,
2023,7,1176,denver,68,1225,idaho,63,H,0,24,48,3,8,17,33,7,28,11,14,6,6,18,25,61,6,30,7,11,8,20,10,14,9,1,26,Regular,,,,,,,,
2023,7,1177,depaul,72,1259,loyola (md),66,H,0,25,58,8,27,14,18,12,25,11,13,10,4,16,24,60,10,24,8,17,12,22,10,14,6,1,19,Regular,,,,,,,,
2023,7,1181,duke,71,1239,jacksonville,44,H,0,27,59,10,29,7,11,15,27,19,12,6,3,12,18,53,3,23,5,5,6,17,12,11,5,3,18,Regular,5.0,W,,,5.0,W,,
2023,7,1191,evansville,78,1275,miami (oh),74,A,0,28,60,7,23,15,20,8,25,9,12,5,2,17,26,60,6,23,16,20,7,20,11,13,7,1,16,Regular,,,,,,,,
2023,7,1195,fgcu,74,1425,southern california,61,A,0,24,64,8,27,18,25,14,29,13,11,7,3,23,21,52,3,19,16,24,6,27,15,15,9,8,21,Regular,,,10.0,W,,,10.0,W
2023,7,1196,florida,81,1392,stony brook,45,H,0,29,61,10,25,13,18,9,31,12,10,8,4,12,16,52,6,28,7,13,5,20,9,18,6,2,14,Regular,,,,,,,,
2023,7,1198,fiu,77,1223,houston bap,66,H,0,33,66,3,16,8,12,12,25,12,14,12,8,8,25,64,12,23,4,5,14,23,13,22,5,1,11,Regular,,,,,,,,
2023,7,1200,fordham,88,1171,dartmouth,74,H,0,35,61,8,20,10,14,5,26,9,10,6,7,18,25,59,11,24,13,17,6,18,15,12,2,2,15,Regular,,,,,,,,
2023,7,1208,georgia,68,1441,estern carolina,55,H,0,27,55,3,10,11,15,9,27,13,20,9,6,17,20,57,6,18,9,11,4,18,14,14,12,2,16,Regular,,,,,,,,
2023,7,1211,gonzaga,104,1316,north florida,63,H,0,43,67,5,12,13,16,9,32,22,14,15,2,26,21,59,8,30,13,22,11,19,13,22,7,1,19,Regular,3.0,Z,,,3.0,Z,,
2023,7,1213,grand canyon,60,1286,montana st,54,H,0,23,53,6,21,8,14,3,24,8,8,4,1,19,20,52,3,13,11,18,9,23,10,10,5,5,21,Regular,14.0,Z,14.0,W,14.0,Z,14.0,W
2023,7,1220,hofstra,83,1343,princeton,77,A,0,36,66,7,17,4,6,5,25,12,8,5,3,20,29,59,5,20,14,20,8,25,13,10,3,4,12,Regular,,,15.0,X,,,15.0,X
2023,7,1222,houston,83,1294,n colorado,36,H,0,32,72,11,29,8,10,17,23,16,8,14,6,13,10,39,5,21,11,16,6,20,5,21,3,3,12,Regular,1.0,Y,,,1.0,Y,,
2023,7,1228,illinois,87,1183,e illinois,57,H,0,30,64,9,26,18,33,20,33,16,15,10,9,16,21,60,3,15,12,20,7,20,9,16,12,2,25,Regular,9.0,Z,,,9.0,Z,,
2023,7,1231,indiana,88,1287,morehead st,53,H,0,36,59,4,11,12,21,5,25,16,10,9,4,12,20,54,9,30,4,5,6,19,8,20,4,1,18,Regular,4.0,Y,,,4.0,Y,,
2023,7,1232,indiana st,80,1453,green bay,53,H,0,31,57,14,29,4,8,2,32,21,15,8,2,13,20,52,5,18,8,12,1,22,6,16,5,5,10,Regular,,,,,,,,
2023,7,1233,iona,78,1335,penn,50,H,0,31,76,8,25,8,11,11,28,21,4,9,6,13,18,55,3,25,11,17,9,29,14,15,3,8,13,Regular,13.0,Z,,,13.0,Z,,
2023,7,1234,iowa,89,1126,bethune-cookman,58,H,0,34,67,11,33,10,14,9,32,25,11,10,5,12,23,66,5,16,7,7,8,23,11,16,6,2,16,Regular,8.0,Y,,,8.0,Y,,
2023,7,1235,iowa st,88,1237,indiana - purdue,39,H,0,32,62,6,19,18,23,13,24,20,14,15,4,18,14,42,2,13,9,16,6,15,4,28,7,2,24,Regular,6.0,Y,,,6.0,Y,,
2023,7,1242,kansas,89,1303,ne omaha,64,H,0,36,69,9,22,8,15,15,26,24,9,8,5,13,22,57,5,21,15,19,7,19,10,13,4,1,9,Regular,1.0,Z,,,1.0,Z,,
2023,7,1243,kansas st,93,1410,tex.-pan american,59,H,0,30,66,12,27,21,29,12,25,25,14,9,2,20,20,51,4,15,15,22,7,26,9,25,5,2,22,Regular,3.0,W,,,3.0,W,,
2023,7,1245,kent,79,1297,n kentucky,57,A,0,30,55,13,24,6,16,8,24,18,11,7,4,22,18,60,5,27,16,22,17,19,8,11,7,3,16,Regular,13.0,Y,16.0,Y,13.0,Y,16.0,Y
2023,7,1246,kentucky,95,1224,howard,63,H,0,34,62,11,24,16,28,8,32,20,10,10,5,12,23,67,7,25,10,13,11,22,10,16,4,1,19,Regular,6.0,W,16.0,Z,6.0,W,16.0,Z
2023,7,1253,long beach st,79,1465,cal baptist,64,A,0,32,63,4,10,11,15,11,30,17,10,8,3,18,20,62,8,35,16,21,12,22,13,11,4,2,16,Regular,,,,,,,,
2023,7,1260,loyola (il),88,1192,f dickinson,82,H,1,31,67,8,36,18,26,13,29,21,18,7,5,23,30,75,7,28,15,23,18,22,11,14,9,2,25,Regular,,,16.0,W,,,16.0,W
2023,7,1266,marquette,79,1347,radford,69,H,0,27,59,5,19,20,25,8,30,18,18,9,3,20,26,63,5,25,12,20,7,24,11,14,8,3,20,Regular,2.0,W,,,2.0,W,,
2023,7,1268,maryland,71,1310,niagara,49,H,0,25,51,9,20,12,14,11,19,12,10,9,8,14,22,55,0,6,5,8,12,13,13,11,3,3,12,Regular,8.0,X,,,8.0,X,,
2023,7,1269,massachusetts,94,1148,central conn,67,H,0,38,71,9,19,9,12,14,31,24,13,8,5,8,27,66,9,29,4,6,6,18,15,13,8,4,10,Regular,,,,,,,,
2023,7,1272,memphis,76,1435,vanderbilt,67,A,0,27,53,5,19,17,19,7,26,14,13,8,2,18,23,56,12,30,9,15,9,16,14,13,8,3,18,Regular,8.0,W,,,8.0,W,,
2023,7,1274,miami (fl),67,1248,lafayette,54,H,0,21,58,10,34,15,25,17,26,13,9,9,1,17,19,52,10,34,6,16,8,24,14,14,4,2,21,Regular,5.0,Y,,,5.0,Y,,
2023,7,1276,michigan,75,1236,fort wayne,56,H,0,30,64,9,29,6,9,4,32,17,8,7,8,12,21,71,9,38,5,7,11,27,11,14,2,2,14,Regular,,,,,,,,
2023,7,1277,michigan st,73,1319,northern ariz.,55,H,0,29,65,9,27,6,8,10,32,17,9,6,6,16,19,60,8,30,9,13,7,25,13,12,5,2,13,Regular,7.0,W,,,7.0,W,,
2023,7,1278,minnesota,61,1444,w michigan,60,H,0,22,51,8,18,9,23,13,26,16,16,4,5,10,24,69,8,34,4,4,11,21,11,10,8,4,18,Regular,,,,,,,,
2023,7,1279,mississippi,73,1108,alcorn,58,H,0,22,59,9,25,20,28,18,21,11,16,8,5,16,21,57,7,15,9,11,7,19,12,16,11,5,25,Regular,,,,,,,,
2023,7,1280,mississippi st,63,1394,a&m-corpus chris,44,H,0,25,59,6,25,7,13,12,29,16,16,13,7,7,18,56,6,20,2,2,7,22,9,19,8,3,13,Regular,11.0,Y,16.0,X,11.0,Y,16.0,X
2023,7,1281,missouri,97,1475,southern indiana,91,H,0,35,73,7,28,20,28,14,24,20,11,12,4,20,29,60,15,30,18,24,8,23,15,21,7,5,24,Regular,7.0,X,,,7.0,X,,
2023,7,1298,navy,74,1456,william & mary,59,A,0,30,62,10,21,4,6,11,23,15,9,3,2,11,23,57,6,21,7,10,9,18,9,9,4,5,12,Regular,,,,,,,,
2023,7,1301,n.c. state,99,1122,austin peay,50,H,0,40,66,11,28,8,10,8,28,19,11,10,6,20,16,52,1,8,17,20,6,15,8,19,5,1,14,Regular,11.0,X,,,11.0,X,,
2023,7,1304,nebraska,79,1263,maine,66,H,0,30,65,7,22,12,16,15,26,12,11,2,2,10,26,55,12,29,2,10,5,20,16,12,7,7,18,Regular,,,,,,,,
2023,7,1305,nevada,84,1469,dixie st,71,H,0,29,58,6,20,20,26,9,24,21,12,10,9,21,22,58,8,22,19,25,12,21,12,16,7,0,23,Regular,11.0,Z,,,11.0,Z,,
2023,7,1307,new mexico,89,1381,southern utah,81,H,0,29,60,7,19,24,36,11,23,17,12,9,3,20,31,66,11,32,8,13,13,27,14,20,4,2,30,Regular,,,,,,,,
2023,7,1314,north carolina,69,1423,nc wilmington,56,H,0,22,48,2,10,23,30,6,23,4,8,5,6,18,17,58,4,16,18,24,16,20,3,10,6,1,24,Regular,,,,,,,,
2023,7,1315,north dakota,65,1230,incarnate word,57,A,0,21,50,5,20,18,27,9,24,14,12,3,5,16,22,61,3,20,10,15,9,17,9,10,9,2,26,Regular,,,,,,,,
2023,7,1321,northwestern,85,1152,chicago st,54,H,0,24,56,10,21,27,32,9,32,20,14,8,4,18,16,63,9,34,13,18,11,17,9,12,6,5,28,Regular,7.0,Z,,,7.0,Z,,
2023,7,1326,ohio st,91,1352,robert morris,53,H,0,34,61,10,21,13,21,13,31,18,13,6,5,14,20,63,4,24,9,17,10,14,6,10,5,1,16,Regular,,,,,,,,
2023,7,1329,oklahoma st,77,1426,texas arlington,66,H,0,26,60,6,25,19,27,10,26,13,17,8,7,22,21,59,4,17,20,25,9,24,7,16,11,1,21,Regular,,,,,,,,
2023,7,1330,old dominion,84,1271,maryland - e. shore,65,H,0,29,58,5,17,21,27,14,27,18,10,5,4,15,21,53,10,23,13,18,6,15,16,9,6,0,21,Regular,,,,,,,,
2023,7,1332,oregon,80,1197,florida a&m,45,H,0,29,63,6,25,16,28,17,24,15,10,13,5,12,18,48,3,18,6,8,4,19,5,18,5,0,22,Regular,,,,,,,,
2023,7,1333,oregon st,73,1409,tulsa,70,H,0,25,50,6,16,17,21,9,26,10,18,3,10,20,24,66,9,24,13,18,14,15,9,11,9,0,17,Regular,,,,,,,,
2023,7,1336,penn st,93,1457,winthrop,68,H,0,33,60,18,38,9,13,6,24,24,11,8,5,15,22,49,11,25,13,14,3,20,12,16,7,3,12,Regular,10.0,Y,,,10.0,Y,,
2023,7,1337,pepperdine,106,1349,rice,67,H,0,44,70,15,30,3,4,3,33,25,12,8,4,20,24,63,10,32,9,22,8,20,17,14,7,2,12,Regular,,,,,,,,
2023,7,1338,pitt,80,1404,tenn-martin,58,H,0,26,71,11,41,17,23,17,32,21,15,6,10,21,20,62,3,19,15,24,10,27,7,17,8,2,27,Regular,11.0,Y,,,11.0,Y,,
2023,7,1346,quinnipiac,67,1348,rhode island,62,A,0,26,62,6,20,9,25,15,25,8,15,11,5,22,22,60,2,17,16,29,15,25,12,19,10,5,21,Regular,,,,,,,,
2023,7,1350,richmond,69,1440,virginia military,48,H,0,23,51,7,28,16,29,9,34,13,10,5,5,16,16,64,7,33,9,14,15,22,6,11,2,1,25,Regular,,,,,,,,
2023,7,1353,rutgers,75,1162,columbia,35,H,0,31,72,8,20,5,14,13,26,20,11,14,4,15,11,47,1,21,12,22,7,26,3,23,5,3,14,Regular,,,,,,,,
2023,7,1356,s illinois,94,1114,ark little rock,63,H,0,32,55,12,28,18,24,11,33,20,18,4,3,20,26,64,3,18,8,18,10,15,8,7,11,3,19,Regular,,,,,,,,
2023,7,1358,sam houston,52,1328,oklahoma,51,A,0,21,64,6,23,4,9,10,25,9,12,9,1,15,16,43,5,19,14,20,3,31,6,20,4,5,12,Regular,,,,,,,,
2023,7,1361,san diego st,80,1168,cal st. fullerton,57,H,0,28,52,8,18,16,23,4,21,18,12,12,1,16,20,51,4,22,13,17,5,21,6,18,6,3,20,Regular,5.0,X,,,5.0,X,,
2023,7,1362,san francisco,90,1411,texas southern,77,H,0,31,51,11,23,17,26,7,39,13,23,5,1,27,26,67,6,15,19,32,5,13,4,10,8,0,18,Regular,,,16.0,W,,,16.0,W
2023,7,1365,santa clara,84,1186,e washington,72,H,0,28,75,9,28,19,24,15,33,15,9,8,5,19,27,64,5,21,13,20,6,31,17,15,5,4,22,Regular,,,,,,,,
2023,7,1369,se missouri st,64,1378,south fla.,61,A,0,20,56,10,26,14,22,11,25,10,13,6,2,21,24,52,4,19,9,19,6,27,8,16,6,3,19,Regular,16.0,X,,,16.0,X,,
2023,7,1370,seattle,85,1471,uc san diego,71,A,0,30,65,14,34,11,18,12,21,24,7,6,4,18,25,53,5,20,16,21,5,18,17,8,5,2,16,Regular,,,,,,,,
2023,7,1373,siena,75,1221,holy cross,68,A,0,28,54,7,17,12,21,6,29,13,15,4,2,19,28,59,2,10,10,23,8,24,7,14,9,3,19,Regular,,,,,,,,
2023,7,1374,smu,77,1477,East Texas A&M,60,H,0,29,58,3,18,16,23,8,32,11,11,3,7,16,23,66,5,23,9,16,11,21,8,7,4,1,23,Regular,,,,,,,,
2023,7,1382,saint bonaventure,71,1384,saint francis (pa),58,H,0,27,59,4,19,13,20,10,23,13,6,5,2,19,20,52,4,19,14,21,7,23,12,11,1,0,19,Regular,,,,,,,,
2023,7,1385,saint john`s,97,1467,merrimack,72,H,0,37,65,10,26,13,15,14,32,22,29,14,4,21,25,65,6,29,16,22,9,15,16,20,14,1,15,Regular,,,,,,,,
2023,7,1387,saint louis,91,1293,murray st,68,H,0,35,74,10,31,11,16,15,31,23,8,5,1,16,23,62,7,22,15,22,9,22,7,10,3,2,17,Regular,,,,,,,,
2023,7,1388,saint mary's,78,1331,oral roberts,70,H,0,25,63,8,26,20,28,8,31,9,4,8,3,15,23,58,12,30,12,17,5,25,11,11,2,6,22,Regular,5.0,Z,12.0,W,5.0,Z,12.0,W
2023,7,1389,saint peter's,73,1312,n.j.i.t.,59,H,0,26,59,6,22,15,19,10,24,13,9,6,4,30,19,54,4,22,17,27,8,23,8,12,4,2,20,Regular,,,,,,,,
2023,7,1390,stanford,88,1334,pacific,78,H,0,29,48,8,22,22,34,4,28,18,16,5,3,15,28,67,11,30,11,14,9,20,11,12,7,2,24,Regular,,,,,,,,
2023,7,1391,stetson,83,1199,florida st,74,A,0,29,61,14,35,11,16,12,23,20,8,4,2,21,27,59,6,14,14,27,14,20,14,9,2,2,16,Regular,,,,,,,,
2023,7,1393,syracuse,90,1250,lehigh,72,H,0,30,55,6,12,24,31,7,27,12,13,8,7,10,27,63,8,21,10,13,6,16,16,12,7,2,19,Regular,,,,,,,,
2023,7,1395,tcu,73,1115,ark pine bluff,72,H,0,21,54,4,21,27,38,10,25,13,12,8,3,11,26,63,13,29,7,10,6,28,22,13,7,6,22,Regular,6.0,Z,,,6.0,Z,,
2023,7,1397,tennessee,75,1399,tennessee tech,43,H,0,26,65,14,44,9,9,15,20,21,15,17,4,11,13,40,5,17,12,19,2,21,5,21,8,0,10,Regular,4.0,W,,,4.0,W,,
2023,7,1400,texas,72,1431,texas-el paso,57,H,0,23,42,4,14,22,29,5,20,14,15,6,3,15,21,52,5,15,10,15,10,19,8,16,5,3,25,Regular,2.0,Y,,,2.0,Y,,
2023,7,1401,texas a&m,87,1419,la-monroe,54,H,0,32,63,12,26,11,18,9,35,21,14,3,3,25,16,59,2,20,20,28,8,25,6,16,10,4,18,Regular,7.0,Y,,,7.0,Y,,
2023,7,1403,texas tech,73,1322,northwestern la,49,H,0,24,46,7,18,18,22,10,31,19,19,5,5,11,19,67,10,36,1,1,12,15,11,10,14,2,19,Regular,,,,,,,,
2023,7,1405,toledo,85,1434,valparaiso,70,H,0,32,70,8,20,13,16,11,26,11,8,12,2,13,30,62,6,14,4,6,4,23,14,16,5,1,17,Regular,,,,,,,,
2023,7,1406,towson,67,1107,albany,62,H,0,23,53,3,12,18,21,7,21,13,13,6,3,16,19,53,10,31,14,18,10,23,14,15,5,4,21,Regular,,,,,,,,
2023,7,1408,tulane,89,1420,maryland-baltimore county,67,H,0,36,69,8,22,9,11,7,27,14,7,5,4,15,22,61,8,30,15,17,3,26,13,9,4,4,15,Regular,,,,,,,,
2023,7,1412,alabama-birmingham,111,1106,alabama st,70,H,0,34,64,9,21,34,45,9,38,13,11,7,7,18,24,76,9,24,13,16,12,21,12,14,5,9,31,Regular,,,,,,,,
2023,7,1413,california-davis,75,1143,california,65,A,0,27,56,6,14,15,23,9,27,14,12,9,3,16,24,63,6,21,11,15,12,19,9,14,7,7,20,Regular,,,,,,,,
2023,7,1417,ucla,76,1170,cs sacramento,50,H,0,34,64,6,10,2,5,8,23,12,9,12,6,14,19,55,2,18,10,17,12,22,7,19,2,1,12,Regular,2.0,Z,,,2.0,Z,,
2023,7,1421,n.c. asheville,98,1416,central florida,95,A,2,34,66,11,29,19,26,8,25,13,19,8,6,20,37,81,10,33,11,15,16,21,12,14,9,5,23,Regular,15.0,Z,,,15.0,Z,,
2023,7,1424,nevada-las vegas,66,1380,southern,56,H,0,15,48,4,26,32,38,7,22,10,16,13,3,14,19,53,8,28,10,14,8,25,14,26,12,1,25,Regular,,,,,,,,
2023,7,1428,utah,89,1254,LIU,48,H,0,30,72,7,22,22,27,15,35,11,7,8,8,15,19,59,3,13,7,11,5,25,10,16,2,1,19,Regular,,,,,,,,
2023,7,1429,utah st,75,1430,utah valley,58,H,0,29,64,8,19,9,16,10,36,17,9,1,5,16,20,61,3,19,15,20,5,26,8,9,6,2,18,Regular,10.0,X,,,10.0,X,,
2023,7,1433,va commonwealth,73,1264,manhattan,56,H,0,23,54,8,24,19,33,10,18,12,14,16,2,16,21,41,5,14,9,14,1,29,12,27,6,3,27,Regular,12.0,Z,,,12.0,Z,,
2023,7,1436,vermont,80,1135,brown,65,H,0,28,52,10,23,14,15,4,25,15,15,8,2,15,23,52,6,18,13,18,4,20,9,16,9,2,18,Regular,15.0,W,,,15.0,W,,
2023,7,1437,villanova,81,1247,la salle,68,H,0,29,52,13,20,10,11,5,25,13,9,4,4,18,22,55,10,25,14,20,9,18,11,8,6,0,15,Regular,,,,,,,,
2023,7,1438,virginia,73,1300,n.c. central,61,H,0,20,47,11,25,22,30,8,27,16,7,4,4,12,22,53,8,19,9,14,7,16,8,8,6,4,25,Regular,4.0,X,,,4.0,X,,
2023,7,1439,virginia tech,95,1175,delaware st,57,H,0,33,60,14,28,15,20,11,28,18,10,5,4,10,24,62,4,16,5,7,6,17,9,12,5,2,18,Regular,,,,,,,,
2023,7,1442,w illinois,71,1229,illinois st,68,A,0,28,65,8,26,7,10,4,22,16,4,5,3,17,21,56,5,19,21,25,9,32,4,13,3,3,16,Regular,,,,,,,,
2023,7,1447,wagner,76,1396,temple,73,A,1,27,64,7,25,15,22,10,25,10,8,6,2,20,21,54,5,20,26,30,6,25,10,13,3,8,20,Regular,,,,,,,,
2023,7,1448,wake forest,71,1193,fairfield,59,H,0,18,46,6,22,29,39,6,25,10,10,9,1,20,21,55,8,29,9,17,7,25,7,12,4,4,29,Regular,,,,,,,,
2023,7,1449,washington,69,1451,weber st,52,H,0,24,51,6,19,15,23,10,25,6,15,6,7,19,16,45,4,23,16,19,5,18,8,17,3,0,21,Regular,,,,,,,,
2023,7,1450,washington st,83,1402,texas st,61,H,0,29,55,9,20,16,24,10,24,19,12,6,8,24,23,50,3,12,12,26,7,16,11,11,4,4,20,Regular,,,,,,,,
2023,7,1452,west virginia,76,1291,mount saint mary`s,58,H,0,28,57,6,20,14,19,15,30,17,18,11,4,22,18,55,10,21,12,22,13,15,11,17,6,2,23,Regular,9.0,X,,,9.0,X,,
2023,7,1455,wichita st,79,1146,cent arkansas,55,H,0,28,64,6,21,17,25,9,34,10,10,6,6,15,22,73,4,30,7,9,12,22,8,14,3,2,19,Regular,,,,,,,,
2023,7,1458,wisconsin,85,1377,south dakota,59,H,0,28,55,12,26,17,23,6,30,14,10,8,4,15,23,57,2,15,11,17,6,25,7,10,5,2,20,Regular,,,,,,,,
2023,7,1462,xavier,96,1288,morgan st,73,H,0,32,62,5,14,27,36,17,26,24,20,15,10,20,26,70,5,17,16,22,15,11,11,18,17,3,28,Regular,3.0,Y,,,3.0,Y,,
2023,7,1464,youngstown st,92,1145,canisius,81,A,0,38,67,7,14,9,15,12,33,14,20,5,5,18,28,69,11,33,14,17,8,18,13,10,7,4,14,Regular,,,,,,,,
2023,7,1474,Queens (NC),83,1267,marshall,82,H,0,32,68,11,26,8,12,14,30,17,16,7,1,10,34,78,11,31,3,4,14,19,21,8,14,6,13,Regular,,,,,,,,
2023,8,1182,duquesne,91,1285,montana,63,H,0,38,59,10,24,5,8,8,28,13,13,10,4,22,20,52,6,20,17,22,6,14,10,13,7,0,16,Regular,,,,,,,,
2023,8,1187,east carolina,77,1273,mercer,75,H,0,27,58,10,29,13,21,9,19,14,13,5,2,18,28,56,6,14,13,23,11,15,18,11,7,3,19,Regular,,,,,,,,
2023,8,1207,georgetown,99,1164,coppin st,89,H,1,34,71,7,18,24,32,16,32,14,17,6,9,21,28,72,13,38,20,24,9,24,14,16,11,5,24,Regular,,,,,,,,
2023,8,1344,providence,66,1351,rider,65,H,0,18,50,4,19,26,43,13,23,10,8,10,8,15,24,58,9,14,8,10,7,25,14,13,5,2,29,Regular,11.0,W,,,11.0,W,,
2023,8,1345,purdue,84,1454,milwaukee,53,H,0,27,72,12,34,18,22,20,29,18,10,14,11,13,23,60,3,19,4,9,3,23,10,19,7,5,20,Regular,1.0,W,,,1.0,W,,
2023,8,1357,sacred heart,77,1216,hartford,70,A,0,30,69,10,32,7,11,10,26,21,10,8,4,13,26,61,5,20,13,14,6,24,13,14,5,4,12,Regular,,,,,,,,
2023,8,1363,san jose st,63,1204,ga southern,48,H,0,24,52,5,19,10,14,3,32,10,10,3,5,14,15,56,4,15,14,14,6,23,4,11,4,1,16,Regular,,,,,,,,
2023,8,1376,south carolina,80,1354,s carolina st,77,H,0,26,59,7,20,21,32,10,24,12,11,3,5,17,28,64,11,26,10,16,8,22,17,10,5,6,24,Regular,,,,,,,,
2023,9,1172,davidson,102,1460,wright st,97,A,2,35,67,10,23,22,36,9,30,21,16,4,2,15,39,88,8,30,11,15,13,29,19,12,10,1,23,Regular,,,,,,,,
2023,9,1179,drake,80,1237,indiana - purdue,48,H,0,27,50,9,22,17,20,5,36,10,18,8,8,21,18,64,3,17,9,17,8,18,7,12,6,3,17,Regular,12.0,Y,,,12.0,Y,,
2023,9,1241,james madison,106,1214,hampton,58,H,0,40,66,11,20,15,22,12,38,21,12,6,5,17,21,65,8,28,8,20,10,17,11,12,2,0,20,Regular,,,,,,,,
2023,9,1261,louisiana state,74,1282,Kansas City,63,H,0,24,57,8,21,18,26,12,30,16,15,11,4,23,19,58,4,25,21,27,9,26,12,14,6,1,20,Regular,,,,,,,,
2023,9,1265,marist,73,1110,american,69,H,0,28,54,11,21,6,14,6,22,15,12,11,2,11,27,61,12,27,3,5,10,23,11,14,7,3,12,Regular,,,,,,,,
